"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Franklin Parish, LA"	"22041"	Suppressed	20410	Suppressed	Suppressed	Suppressed	Suppressed
	"Grant Parish, LA"	"22043"	Suppressed	22343	Suppressed	Suppressed	Suppressed	Suppressed
	"Iberia Parish, LA"	"22045"	Suppressed	74103	Suppressed	Suppressed	Suppressed	Suppressed
	"Iberville Parish, LA"	"22047"	Suppressed	33095	Suppressed	Suppressed	Suppressed	Suppressed
	"Jackson Parish, LA"	"22049"	Suppressed	15858	Suppressed	Suppressed	Suppressed	Suppressed
	"Jefferson Parish, LA"	"22051"	57	436275	13.1	9.9	16.9	1.7
	"Jefferson Davis Parish, LA"	"22053"	Suppressed	31439	Suppressed	Suppressed	Suppressed	Suppressed
	"Lafayette Parish, LA"	"22055"	39	240098	16.2	11.6	22.2	2.6
	"Lafourche Parish, LA"	"22057"	24	98325	24.4	15.6	36.3	5.0
	"LaSalle Parish, LA"	"22059"	Suppressed	14974	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln Parish, LA"	"22061"	11	47774	Unreliable	11.5	41.2	6.9
	"Livingston Parish, LA"	"22063"	29	137788	21.0	14.1	30.2	3.9
